year,month,day_endofweek,Date,statefips,state_name,contclaims_count_regular,contclaims_count_peuc,contclaims_count_pua,pand_claims,contclaims_count_combined,reg_reg_claims,reg_pand_claim,early_reg_claim,early_pand_claims,binary_dumb,covid_cases,covid_death_count,full_vaccine
2020,2,8,2/8/20,5,Arkansas,12964,0,0,0,12964,.,.,12964,0,0,0,0,0
2020,2,8,2/8/20,6,California,359156,0,0,0,359156,359156,0,.,.,0,5,0,0
2020,2,8,2/8/20,8,Colorado,22881,0,0,0,22881,22881,0,.,.,0,0,0,0
2020,2,8,2/8/20,9,Connecticut,41633,0,0,0,41633,41633,0,.,.,0,0,0,0
2020,2,8,2/8/20,10,Delaware,5888,0,0,0,5888,5888,0,.,.,0,0,0,0
2020,2,8,2/8/20,11,District of Columbia,7156,0,0,0,7156,7156,0,.,.,0,0,0,0
2020,2,8,2/8/20,12,Florida,33176,0,0,0,33176,.,.,33176,0,0,0,0,0
2020,2,8,2/8/20,13,Georgia,26984,0,0,0,26984,.,.,26984,0,0,0,0,0
2020,2,8,2/8/20,15,Hawaii,6205,0,0,0,6205,6205,0,.,.,0,0,0,0
2020,2,8,2/8/20,16,Idaho,11389,0,0,0,11389,.,.,11389,0,0,0,0,0
2020,2,8,2/8/20,17,Illinois,130900,0,0,0,130900,130900,0,.,.,0,0,0,0
2020,2,8,2/8/20,18,Indiana,22212,0,0,0,22212,.,.,22212,0,0,0,0,0
2020,2,8,2/8/20,19,Iowa,30789,0,0,0,30789,.,.,30789,0,0,0,0,0
2020,2,8,2/8/20,20,Kansas,11809,0,0,0,11809,11809,0,.,.,0,0,0,0
2020,2,8,2/8/20,21,Kentucky,22937,0,0,0,22937,22937,0,.,.,0,0,0,0
2020,2,8,2/8/20,22,Louisiana,15051,0,0,0,15051,.,.,15051,0,0,0,0,0
2020,2,8,2/8/20,23,Maine,8809,0,0,0,8809,8809,0,.,.,0,0,0,0
2020,2,8,2/8/20,24,Maryland,29342,0,0,0,29342,.,.,29342,0,0,0,0,0
2020,2,8,2/8/20,25,Massachusetts,76492,0,0,0,76492,76492,0,.,.,0,0,0,0
2020,2,8,2/8/20,26,Michigan,79833,0,0,0,79833,79833,0,.,.,0,0,0,0
2020,2,8,2/8/20,27,Minnesota,64105,0,0,0,64105,64105,0,.,.,0,0,0,0
2020,2,8,2/8/20,28,Mississippi,8261,0,0,0,8261,.,.,8261,0,0,0,0,0
2020,2,8,2/8/20,29,Missouri,27906,0,0,0,27906,.,.,27906,0,0,0,0,0
2020,2,8,2/8/20,30,Montana,11489,0,0,0,11489,.,.,11489,0,0,0,0,0
2020,2,8,2/8/20,31,Nebraska,7024,0,0,0,7024,.,.,7024,0,0,0,0,0
2020,2,8,2/8/20,32,Nevada,19225,0,0,0,19225,19225,0,.,.,0,0,0,0
2020,2,8,2/8/20,33,New Hampshire,4050,0,0,0,4050,.,.,.,.,0,0,0,0
2020,2,8,2/8/20,34,New Jersey,109931,0,0,0,109931,109931,0,.,.,0,0,0,0
2020,2,8,2/8/20,35,New Mexico,9965,0,0,0,9965,9965,0,.,.,0,0,0,0
2020,2,8,2/8/20,36,New York,163393,0,0,0,163393,163393,0,.,.,0,0,0,0
2020,2,8,2/8/20,37,North Carolina,22044,0,0,0,22044,22044,0,.,.,0,0,0,0
2020,2,8,2/8/20,38,North Dakota,6838,0,0,0,6838,.,.,6838,0,0,0,0,0
2020,2,8,2/8/20,39,Ohio,71442,0,0,0,71442,.,.,71442,0,0,0,0,0
2020,2,8,2/8/20,40,Oklahoma,17757,0,0,0,17757,.,.,17757,0,0,0,0,0
2020,2,8,2/8/20,41,Oregon,31658,0,0,0,31658,31658,0,.,.,0,0,0,0
2020,2,8,2/8/20,42,Pennsylvania,142004,0,0,0,142004,142004,0,.,.,0,0,0,0
2020,2,8,2/8/20,44,Rhode Island,11051,0,0,0,11051,11051,0,.,.,0,0,0,0
2020,2,8,2/8/20,45,South Carolina,16669,0,0,0,16669,.,.,16669,0,0,0,0,0
2020,2,8,2/8/20,46,South Dakota,3117,0,0,0,3117,.,.,3117,0,0,0,0,0
2020,2,8,2/8/20,47,Tennessee,20670,0,0,0,20670,.,.,20670,0,0,0,0,0
2020,2,8,2/8/20,48,Texas,128666,0,0,0,128666,.,.,128666,0,0,0,0,0
2020,2,8,2/8/20,49,Utah,12187,0,0,0,12187,.,.,12187,0,0,0,0,0
2020,2,8,2/8/20,50,Vermont,4824,0,0,0,4824,4824,0,.,.,0,0,0,0
2020,2,8,2/8/20,51,Virginia,22049,0,0,0,22049,22049,0,.,.,0,0,0,0
2020,2,8,2/8/20,53,Washington,64144,0,0,0,64144,64144,0,.,.,0,0,0,0
